"Country","Annees","Deces","Malades"
"Benin","00","",""
"Benin","01","468",""
"Benin","02","707",""
"Benin","03","560",""
"Benin","04","944",""
"Benin","05","322",""
"Benin","06","1226",""
"Benin","07","1290",""
"Benin","08","918",""
"Benin","09","1375","889597"
"Benin","10","964",""
"Benin","11","1753","422968"
"Benin","12","2261","705839"
"B.Faso","00","",""
"B.Faso","01","4233",""
"B.Faso","02","4032",""
"B.Faso","03","4860",""
"B.Faso","04","4205","18256"
"B.Faso","05","5224","21335"
"B.Faso","06","8083","44265"
"B.Faso","07","6472","44246"
"B.Faso","08","7834","36514"
"B.Faso","09","7982","182527"
"B.Faso","10","9024","804539"
"B.Faso","11","7001","428113"
"B.Faso","12","7963","3858046"
"C.Vert","00","0","129"
"C.Vert","01","0","100"
"C.Vert","02","2","58"
"C.Vert","03","4","48"
"C.Vert","04","4","32"
"C.Vert","05","2","54"
"C.Vert","06","8","63"
"C.Vert","07","2","2"
"C.Vert","08","2","16"
"C.Vert","09","2","65"
"C.Vert","10","1","18"
"C.Vert","11","4","36"
"C.Vert","12","0","1"
"CIV","00","","15705"
"CIV","01","","11936"
"CIV","02","","7628"
"CIV","03","","1585"
"CIV","04","","293"
"CIV","05","","67"
"CIV","06","",""
"CIV","07","797",""
"CIV","08","1249","3527"
"CIV","09","18156","7388"
"CIV","10","1023","62726"
"CIV","11","1389","29976"
"CIV","12","1534","1140627"
"Gambia","00","",""
"Gambia","01","275",""
"Gambia","02","259",""
"Gambia","03","192",""
"Gambia","04","153",""
"Gambia","05","426",""
"Gambia","06","150",""
"Gambia","07","424",""
"Gambia","08","403","39164"
"Gambia","09","240","50378"
"Gambia","10","151","116353"
"Gambia","11","440","261967"
"Gambia","12","289","300363"
"Ghana","00","6108",""
"Ghana","01","1717",""
"Ghana","02","2376",""
"Ghana","03","2103",""
"Ghana","04","1575","475441"
"Ghana","05","2037","655093"
"Ghana","06","3125","472255"
"Ghana","07","4622","476484"
"Ghana","08","3889","1094483"
"Ghana","09","3378","1104370"
"Ghana","10","3859","1071637"
"Ghana","11","3259","1041260"
"Ghana","12","2855","3755166"
"Guinea","00","626","4800"
"Guinea","01","517","6238"
"Guinea","02","440","16561"
"Guinea","03","586","107925"
"Guinea","04","528","103069"
"Guinea","05","490","50452"
"Guinea","06","","54227"
"Guinea","07","472","44518"
"Guinea","08","441","33405"
"Guinea","09","586","35841"
"Guinea","10","735","20936"
"Guinea","11","743","95574"
"Guinea","12","979","317200"
"G.Bissau","00","",""
"G.Bissau","01","635",""
"G.Bissau","02","780",""
"G.Bissau","03","1137",""
"G.Bissau","04","565",""
"G.Bissau","05","565","14659"
"G.Bissau","06","507","15120"
"G.Bissau","07","","14284"
"G.Bissau","08","487","11299"
"G.Bissau","09","369","11757"
"G.Bissau","10","296","50391"
"G.Bissau","11","472","71982"
"G.Bissau","12","370","50381"
"Liberia","00","",""
"Liberia","01","",""
"Liberia","02","",""
"Liberia","03","",""
"Liberia","04","",""
"Liberia","05","41","44875"
"Liberia","06","877","761415"
"Liberia","07","310","492272"
"Liberia","08","345","606952"
"Liberia","09","1706","839581"
"Liberia","10","1422","922173"
"Liberia","11","","1915762"
"Liberia","12","1725","1407455"
"Mali","00","748",""
"Mali","01","562",""
"Mali","02","826",""
"Mali","03","1309",""
"Mali","04","1012",""
"Mali","05","1285",""
"Mali","06","1914",""
"Mali","07","1782",""
"Mali","08","1227",""
"Mali","09","2331",""
"Mali","10","3006","227482"
"Mali","11","2128","307035"
"Mali","12","1894","886482"
"Niger","00","1244",""
"Niger","01","2366",""
"Niger","02","2769",""
"Niger","03","2248","56460"
"Niger","04","1333","76030"
"Niger","05","2060","56043"
"Niger","06","1150","39560"
"Niger","07","1358","249027"
"Niger","08","2461","496858"
"Niger","09","2159","309675"
"Niger","10","3929","6058"
"Niger","11","2802","780876"
"Niger","12","2825","842343"
"Nigeria","00","",""
"Nigeria","01","4317",""
"Nigeria","02","4092",""
"Nigeria","03","5343",""
"Nigeria","04","6032",""
"Nigeria","05","6494",""
"Nigeria","06","6586",""
"Nigeria","07","10289",""
"Nigeria","08","8677","143079"
"Nigeria","09","7522","479845"
"Nigeria","10","4238","551187"
"Nigeria","11","3353",""
"Nigeria","12","7734",""
"Senegal","00","1275","44959"
"Senegal","01","1515","12920"
"Senegal","02","1226","14425"
"Senegal","03","1602","26865"
"Senegal","04","1524","22234"
"Senegal","05","1587","33160"
"Senegal","06","1678","48070"
"Senegal","07","1935","118332"
"Senegal","08","741","241926"
"Senegal","09","574","165933"
"Senegal","10","553","330331"
"Senegal","11","472","274119"
"Senegal","12","649","280241"
"S.Leone","00","",""
"S.Leone","01","328","2206"
"S.Leone","02","461","3702"
"S.Leone","03","157","3945"
"S.Leone","04","126","2206"
"S.Leone","05","50","4808"
"S.Leone","06","90","4932"
"S.Leone","07","324",""
"S.Leone","08","871","154459"
"S.Leone","09","1734","646808"
"S.Leone","10","8188","934028"
"S.Leone","11","3573","638859"
"S.Leone","12","3611","1537322"
"Togo","00","",""
"Togo","01","1394",""
"Togo","02","1661",""
"Togo","03","1130",""
"Togo","04","1183",""
"Togo","05","1024",""
"Togo","06","819",""
"Togo","07","1236","221110"
"Togo","08","2663","344862"
"Togo","09","1556","391338"
"Togo","10","1507","617101"
"Togo","11","1314","519450"
"Togo","12","1197","697374"
