"Country","Annees","Deces","Malades"
"Cabo Verde","2000","0","144"
"Cabo Verde","2001","0","107"
"Cabo Verde","2002","2","76"
"Cabo Verde","2003","4","68"
"Cabo Verde","2004","4","45"
"Cabo Verde","2005","2","68"
"Cabo Verde","2006","8","80"
"Cabo Verde","2007","2","18"
"Cabo Verde","2008","2","35"
"Cabo Verde","2009","2","65"
"Cabo Verde","2010","1","47"
"Cabo Verde","2011","1","7"
"Cabo Verde","2012","0","1"
"Cabo Verde","2013","0","22"
"Cabo Verde","2014","1","26"
"Cabo Verde","2015","0","7"
"Cabo Verde","2016","1","48"
"Cabo Verde","2017","2","423"
