"Country","Annees","Deces","Malades"
"Senegal","2000","1275","44959"
"Senegal","2001","1515","12920"
"Senegal","2002","1226","14425"
"Senegal","2003","1602","26865"
"Senegal","2004","1524","22234"
"Senegal","2005","1587","33160"
"Senegal","2006","1678","48070"
"Senegal","2007","1935","118332"
"Senegal","2008","741","241926"
"Senegal","2009","574","165933"
"Senegal","2010","553","330331"
"Senegal","2011","472","274119"
"Senegal","2012","649","280241"
"Senegal","2013","815","366687"
"Senegal","2014","500","268912"
"Senegal","2015","526","492253"
"Senegal","2016","325","349540"
"Senegal","2017","284","395706"
