"Country","Annees","Deces","Malades"
"Togo","2000","",""
"Togo","2001","1394",""
"Togo","2002","1661",""
"Togo","2003","1130",""
"Togo","2004","1183",""
"Togo","2005","1024",""
"Togo","2006","819",""
"Togo","2007","1236","221110"
"Togo","2008","2663","344862"
"Togo","2009","1556","391338"
"Togo","2010","1507","617101"
"Togo","2011","1314","519450"
"Togo","2012","1197","697374"
"Togo","2013","1361","882430"
"Togo","2014","1205","1130251"
"Togo","2015","1205","1113927"
"Togo","2016","847","1183265"
"Togo","2017","995","1209034"
